Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100n,
C2,0805,1,10u,
C3,1210,1,10u,
"D1, D2, D3, D4",D_SMA,4,SMAJ5.0CA,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,
J2,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,Screw_Terminal_01x04,
J3,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,Screw_Terminal_01x03,
J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,fan_out,
"R1, R2",0805,2,33,
"R3, R4",0805,2,39,
"R5, R6",0805,2,249,
U1,SC-74-6_1.55x2.9mm_P0.95mm,1,74LVC2G17,
U2,SOT-223-3_TabPin2,1,LD1117S50TR_SOT223,
