Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,100nF,C14663
C3,0805,1,10uF,C440198
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",D_SMA,16,5.0V,C10756
J1,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20,C132132
J13,PinHeader_1x09_P2.00mm_Vertical,1,Conn_01x09,C22438283
"J2, J3, J4, J5, J6, J7, J8, J9",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,8,Conn_01x04,C144394
"R1, R2, R3, R4, R5, R6, R7, R8",0805,8,249,C32281
"R10, R11, R12, R13, R14, R15, R16, R25, R26, R27, R28, R29, R30, R31, R32, R9",0805,16,39,C17659
"R17, R18, R19, R20, R21, R22, R23, R24",0805,8,33,C17634
"SW1, SW2",SW_DIP_SPSTx08_Slide_KingTek_DSHP08TS_W7.62mm_P1.27mm,2,SW_DIP_08,C5165730
"U1, U2",TSSOP-20_4.4x6.5mm_P0.65mm,2,74HCT245,C7494911
