Designator,Mid X,Mid Y,Rotation,Layer
C1,145.0,-101.5,270.0,top
C2,163.5,-101.275,270.0,top
C3,180.5,-77.95,90.0,top
D1,178.5,-71.75,90.0,top
D10,164.75,-71.75,90.0,top
D11,154.75,-71.75,90.0,top
D12,144.75,-71.75,90.0,top
D13,134.75,-71.75,90.0,top
D14,124.75,-71.75,90.0,top
D15,114.75,-71.75,90.0,top
D16,104.75,-71.75,90.0,top
D2,168.5,-71.75,90.0,top
D3,158.5,-71.75,90.0,top
D4,148.5,-71.75,90.0,top
D5,138.5,-71.75,90.0,top
D6,128.5,-71.75,90.0,top
D7,118.5,-71.75,90.0,top
D8,108.5,-71.75,90.0,top
D9,174.75,-71.75,90.0,top
J1,184.96,-82.5,0.0,bottom
J13,136.25,-94.75,180.0,top
J2,177.0,-62.5,270.0,top
J3,167.0,-62.5,270.0,top
J4,157.0,-62.5,270.0,top
J5,147.0,-62.5,270.0,top
J6,137.0,-62.5,270.0,top
J7,127.0,-62.5,270.0,top
J8,117.0,-62.5,270.0,top
J9,107.0,-62.5,270.0,top
R1,142.5,-80.9125,270.0,top
R10,144.5,-84.4125,90.0,top
R11,146.5,-84.4125,90.0,top
R12,148.5,-84.4125,90.0,top
R13,150.5,-84.4125,90.0,top
R14,152.5,-84.4125,90.0,top
R15,154.5,-84.4125,90.0,top
R16,156.5,-84.4125,90.0,top
R17,161.0,-80.9125,270.0,top
R18,163.0,-80.9125,270.0,top
R19,165.0,-80.9125,270.0,top
R2,144.5,-80.9125,270.0,top
R20,167.0,-80.9125,270.0,top
R21,169.0,-80.9125,270.0,top
R22,171.0,-80.9125,270.0,top
R23,173.0,-80.9125,270.0,top
R24,175.0,-80.9125,270.0,top
R25,161.0,-84.4125,90.0,top
R26,163.0,-84.4125,90.0,top
R27,165.0,-84.4125,90.0,top
R28,167.0,-84.4125,90.0,top
R29,169.0,-84.4125,90.0,top
R3,146.5,-80.9125,270.0,top
R30,171.0,-84.4125,90.0,top
R31,173.0,-84.4125,90.0,top
R32,175.0,-84.4125,90.0,top
R4,148.5,-80.9125,270.0,top
R5,150.5,-80.9125,270.0,top
R6,152.5,-80.9125,270.0,top
R7,154.5,-80.9125,270.0,top
R8,156.5,-80.9125,270.0,top
R9,142.5,-84.4125,90.0,top
SW1,149.5,-91.81,90.0,top
SW2,167.945,-91.81,90.0,top
U1,149.425,-101.3625,0.0,top
U2,167.925,-101.3625,0.0,top
